environment,frozen_registry_sha256,feature,gain_mean,gain_sd,n_folds
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical_04,0.01520610837607205,0.008382829570010273,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:lexical_05,0.017636314202120466,0.008613503645897058,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax_00,0.007404850604891469,0.004249265661242457,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax_01,0.011306413149433757,0.004824383344456779,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax_02,0.0082875439676089,0.006490691702066355,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax_03,0.11426902437650974,0.03246366095037617,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax_04,0.0036786936458405735,0.0015320500836918695,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax_05,0.008243080321338307,0.00546009163520509,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax_06,0.015706547300318285,0.01950755074910099,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:structural_syntax_07,0.0014679519662687,0.0014736447511297217,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:formatting_layout_00,0.003437084720084446,0.0008451853219003071,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:formatting_layout_01,0.005058368492717485,0.0016791966162459776,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:formatting_layout_02,0.003471605973989072,0.0010710705096314784,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:formatting_layout_03,0.002923114840720692,0.0008634224227536617,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:original_style_00,0.0032037985856338564,0.0033760106353678057,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:original_style_01,0.003284715424893221,0.002924530831814584,60
clean,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,relative_delta:original_style_02,0.0061058398701506755,0.006097588146202761,60
