environment,frozen_registry_sha256,feature,permutation_mean,permutation_sd,n_folds
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout_00,-0.000234986029312656,0.0008610250177673579,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout_01,0.00018494455289933912,0.001232241520814684,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout_02,-0.00015186390832599612,0.0010560188169919157,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,candidate_absolute:formatting_layout_03,0.00015462199731725208,0.0009259854754985078,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_00,0.0003805491345760692,0.0010878680069441294,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_01,-0.00023032580911801307,0.0021106024816537517,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_02,0.00075166188897966,0.001647344063610086,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_03,0.0007343249358976068,0.001133051916304876,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_04,-1.8666552747080106e-05,0.0014903313298702905,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_05,0.0006000049701641049,0.002009333265736213,60
combined_attack,f18c06f33f3f7f4037c074c58543ed7ff96342108bb4d39838262b626974df62,delta:original_style_06,0.0010011391648635534,0.00265814071245147,60
